County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
Madison ,GA,30628,Colbert,8.18,3.34,clear sky,4.58,1637410237,1637447213,-83.2191,34.0382
Madison ,IA,50033,Bevington,8.49,5.55,overcast clouds,5.39,1637413800,1637448726,-93.7928,41.363
Madison ,ID,83440,Rexburg,1.47,-1.67,overcast clouds,-3.19,1637418521,1637452645,-111.789,43.81
Madison ,IL,62001,Alhambra,12.97,8.94,overcast clouds,8.91,1637412455,1637448127,-89.7441,38.8822
Madison ,IN,46001,Alexandria,5.64,0.75,clear sky,3.16,1637411679,1637446947,-85.6681,40.2561
Madison ,KY,40385,Waco,11.19,4.93,overcast clouds,6.34,1637410949,1637446944,-84.1441,37.7426
Madison ,MO,63645,Fredericktown,9.81,8.21,overcast clouds,9.12,1637412401,1637448465,-90.3362,37.4906
Madison ,MS,39045,Camden,16.07,10.68,scattered clouds,11.89,1637411679,1637448964,-89.8698,32.7853
Madison ,MT,59710,Alder,-2.31,-4.67,clear sky,-7.19,1637418827,1637452467,-112.0568,45.1939
Madison ,NC,28743,Hot Springs,5.25,-0.03,overcast clouds,0.07,1637410388,1637446908,-82.9005,35.8082
Madison ,NE,68701,Norfolk,8.01,5.78,clear sky,7.55,1637414777,1637449491,-97.4229,42.0329
Madison ,NY,13030,Bridgeport,6.06,2.02,broken clouds,4.51,1637409807,1637444162,-75.97,43.159
Madison ,OH,43029,Irwin,7.46,1.37,clear sky,1.8,1637411129,1637446436,-83.4587,40.1284
Madison ,TN,38301,Jackson,12.13,7.3,clear sky,7.71,1637411783,1637448353,-88.814,35.6102
Madison ,TX,75852,Midway,20.57,16.91,scattered clouds,18.61,1637412865,1637450581,-95.7089,30.9806
Madison ,VA,22989,Woodberry Forest,3.38,-0.62,clear sky,1.11,1637409580,1637445423,-78.1225,38.2912
Madison Parish,LA,71233,Delta,16.45,10.3,few clouds,10.95,1637411877,1637449273,-90.927,32.3257
Magoffin ,KY,41464,Royalton,10.73,1.26,overcast clouds,9.34,1637410670,1637446685,-83.0218,37.6751
Mahaska ,IA,50027,Barnes City,8.13,3.65,overcast clouds,5.12,1637413502,1637448389,-92.4703,41.4883
Mahnomen ,MN,56566,Naytahwaush,-2.2,-4.5,clear sky,-7.64,1637415267,1637448140,-95.6283,47.2601
Mahoning ,OH,44401,Berlin Center,6.14,2.82,overcast clouds,4.57,1637410659,1637445694,-80.9341,41.0243
Major ,OK,73663,Seiling,12.7,8.82,overcast clouds,7.26,1637414270,1637450701,-98.8875,36.1278
Malheur ,OR,97901,Adrian,7.01,3.02,clear sky,4.96,1637419761,1637453935,-117.0602,43.6537
Manassas city,VA,20110,Manassas,5.65,0.35,clear sky,3.12,1637409493,1637445205,-77.4878,38.7492
Manat Municipio,PR,00674,Manati,26.34,21.9,overcast clouds,26.1,1637404533,1637444880,-66.48,18.43
Manatee ,FL,34201,Bradenton,22.19,20.14,broken clouds,21.48,1637409282,1637447808,-82.4705,27.4047
Manistee ,MI,49613,Arcadia,6.0,1.36,scattered clouds,2.03,1637412499,1637446385,-86.2061,44.5232
Manitowoc ,WI,53015,Cleveland,4.49,-0.22,clear sky,-0.13,1637412770,1637446863,-87.7673,43.9217
Marathon ,WI,54401,Wausau,1.01,-1.78,clear sky,-0.02,1637413417,1637447147,-89.7066,44.9654
Marengo ,AL,36732,Demopolis,12.05,9.45,clear sky,8.32,1637411155,1637448512,-87.8397,32.4908
Maricao Municipio,PR,00606,Maricao,23.73,20.51,scattered clouds,22.31,1637404630,1637445024,-66.98,18.18
Maricopa ,AZ,85003,Phoenix,23.93,18.97,overcast clouds,20.62,1637417094,1637454210,-112.0774,33.4511
Maries ,MO,65013,Belle,12.05,8.77,clear sky,8.58,1637412845,1637448690,-91.7303,38.2711
Marin ,CA,94901,San Rafael,17.75,12.75,clear sky,14.46,1637420195,1637456117,-122.5105,37.9691
Marinette ,WI,54102,Amberg,0.03,-3.14,overcast clouds,-5.0,1637413095,1637446633,-87.9643,45.4989
Marion ,AL,35543,Bear Creek,9.81,5.37,clear sky,6.67,1637411339,1637448281,-87.7396,34.1649
Marion ,AR,72619,Bull Shoals,13.27,10.29,clear sky,10.82,1637412791,1637449159,-92.5938,36.371
