County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
Somerset,NJ,07059,Warren,5.83,-1.17,clear sky,2.25,1637754928,1637789674,-74.5105,40.6318
Somerset,PA,15411,Addison,4.65,-2.33,clear sky,-1.96,1637755950,1637790973,-79.3454,39.7476
Somervell,TX,76043,Glen Rose,22.58,20.31,overcast clouds,21.33,1637759321,1637796444,-97.7629,32.2298
Sonoma,CA,95425,Cloverdale,17.64,10.33,broken clouds,12.86,1637766290,1637801595,-123.0074,38.7931
Southampton,VA,23827,Boykins,3.01,-1.1,few clouds,-2.01,1637754966,1637790925,-77.1975,36.5951
Southeast Fairbanks Census Area,AK,99706,Fairbanks,-21.56,-24.64,scattered clouds,-30.07,1637780350,1637799504,-147.9377,64.8521
Spalding,GA,30223,Griffin,9.6,2.81,clear sky,5.19,1637756213,1637793076,-84.2728,33.2549
Spartanburg,SC,29301,Spartanburg,7.17,2.35,clear sky,4.87,1637755881,1637792299,-81.9654,34.9352
Spencer,IN,47523,Dale,13.22,10.52,clear sky,10.02,1637757550,1637793051,-87.007,38.1706
Spencer,KY,40046,Mount Eden,11.77,7.59,overcast clouds,7.04,1637757088,1637792629,-85.1641,38.0352
Spink,SD,57424,Ashton,-4.0,-5.93,overcast clouds,-11.7,1637761431,1637794639,-98.3973,45.0465
Spokane,WA,99001,Airway Heights,2.9,-1.14,broken clouds,0.62,1637766558,1637798727,-117.5921,47.6438
Spotsylvania,VA,22407,Fredericksburg,4.23,0.31,clear sky,1.86,1637755293,1637790767,-77.5476,38.2688
St Mary Parish,LA,70340,Amelia,19.0,17.22,overcast clouds,18.44,1637757437,1637795187,-91.2208,29.6884
St. Bernard Parish,LA,70032,Arabi,19.0,15.03,few clouds,17.54,1637757176,1637794860,-89.9965,29.9612
St. Charles,MO,63301,Saint Charles,17.03,13.81,overcast clouds,14.55,1637758485,1637793796,-90.5065,38.8014
St. Charles Parish,LA,70030,Des Allemands,19.0,17.22,scattered clouds,18.28,1637757265,1637794985,-90.4407,29.8134
